,PC1,PC2,PC3,PC4
414C2_C34,0.21358181867796322,0.06389151552772493,-0.1345314785233746,0.09154341638967545
414C2_C34.1,-0.7662904562057864,-0.4735255219360272,-0.20087603516953464,-0.3295663641570178
414C2_C34.2,0.09319166958973556,0.30561021389161985,0.11716711333685029,-0.33647370904677104
414C2_DAPT,0.449510914603125,-0.5269583316494953,-0.4118568231907754,0.1627046120651408
414C2_DAPT.1,0.9399940802088802,0.06219803691379046,-0.03895147305243063,-0.08625675966066768
414C2_DAPT.2,0.12766138919398737,0.7704505235225739,0.004415566326392966,-0.03141178247122985
414C2_control,-0.5006017169269874,0.23197421492242032,-0.0008705750448836369,0.38942440135465317
414C2_control.1,0.19811344676371692,-0.5625613168832678,0.6159782482462249,0.0754355616944308
414C2_control.2,-0.7551611459046335,0.12892066569066246,0.04952545707152883,0.06460062383178658
