,PC1,PC2,PC3
B7_C34,-0.38381937316897025,0.07444996638650628,0.03455233736049243
B7_C34.1,-0.653464484568463,0.3194942068566616,0.5280838879322404
B7_C34.2,-0.31756160698878144,-0.1830392996943031,0.112632904640479
B7_DAPT,-0.39251224954021174,0.03340059540175881,-0.0739041166784033
B7_DAPT.1,0.07062865535563195,-0.5309983214086598,0.08358756341706575
B7_DAPT.2,-0.34659556414307463,-0.45450497925650957,-0.40904878494729235
B7_control,1.275056822241396,-0.157831498826792,0.21134909850117473
B7_control.1,0.04324056298464285,0.5444116917468514,-0.44043167701150154
B7_control.2,0.7050272378278242,0.3546176387944787,-0.04682121321425048
