,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15
414C2_control,-56.179930931988736,-16.584262339453257,11.352430848514402,-17.510550531596913,1.0951218580587152,-0.5179399379731193,10.616716102376929,-7.515850571466517,-2.0114062783619175,-5.268823233801412,7.601750028348783,15.139302763409189,1.2756952759515012,2.60516603443475,26.15916805720941
414C2_control.1,-52.56988397531544,-15.476217647037737,9.36076378209627,-19.778127051426818,-3.6523469981114602,0.4807518317680899,8.05525144499677,-10.74808785881016,-10.147813376825935,-5.904230677496643,-8.6701246846522,-0.2364068491649497,-5.6092110443474805,-11.782707169764498,-11.75930399201483
414C2_control.2,-51.858153609470136,-15.11451151245788,11.590039018747417,-14.89410004259591,-3.5797765785513658,-3.5014013207590855,11.162410477266594,27.907329101118215,4.411995641840759,0.6839771099941093,7.033838382086083,-8.974092822695296,-0.818033749950992,7.179518128980352,-15.221944427429968
414C2_DAPT,-55.82240172834539,12.227258818356024,-6.719183978571509,22.036815989883564,37.87975098463296,-12.080176545022292,15.498327901749478,-4.394073114123088,-3.8721913242217356,-1.5403683387608904,-2.90113320010093,0.7936505918558744,0.19589214346631317,4.281196621345272,-4.192126365486729
414C2_DAPT.1,-50.5769230879258,11.43059488429443,-9.31265578731518,21.84596116319649,-23.61030902696848,21.910082342188414,18.2603532713446,-2.294849574747624,-5.3586505070920385,12.923532503968097,0.5353624089140859,-9.685774544977908,3.3503108792492746,2.1216705366889186,5.271343474991359
414C2_DAPT.2,-50.73579954636872,6.6226745944040815,-5.626179194140676,7.138557526436428,4.311042522034853,-7.3845688757424215,-16.755645968275267,19.66701091232588,8.904409142031565,2.4088121673519356,9.539175162308416,-7.375166119067046,-3.3923988348253387,-15.669678698085876,15.782619790525036
414C2_C34,-51.14242707933237,10.61195062275087,-9.862067568469936,12.82914185751543,-11.208419349922105,8.84802117662546,-15.655891853931196,2.4037952140015784,-1.3900380390258285,-16.305097340771937,5.310942665782557,24.409528873793654,-8.925905047491254,6.672238354478027,-10.300513667570533
414C2_C34.1,-50.379045264133666,4.346277274798157,-7.293517642950075,-3.829080756112613,-0.2739345215108034,0.7111976607199736,-15.217641297301839,-9.364433272948347,-4.816497022361857,-0.16705138674454004,-13.533823934445234,-8.627983140693473,3.7594313180331973,-17.388932339104144,-6.704536582137643
414C2_C34.2,-50.72146562568397,6.744771856833159,0.6976214583977441,-10.453397848390546,-2.9930785840864713,-8.216523388222239,-16.215332744501183,-15.424372979944652,15.264209858554768,12.842486004355592,-4.587528048741768,-6.8954163883429365,9.230377203281778,21.768264394038365,0.36947400500897226
B7_control,50.29061810997754,-34.74433987847326,3.426218599060468,14.150465839699269,-4.555285928341987,-4.234718540449703,-4.1044487021310205,0.7951168587428573,-1.5357034770875124,-15.011008306103014,-14.680787394047355,-14.02722302129171,-17.448143349634883,13.30428976391539,7.8242571435955615
B7_control.1,44.95702941106008,-33.95428956508142,9.792165778188545,7.209447339167366,8.24239525966375,7.613336471342952,-9.566355836918826,11.536256512170533,-12.15757194067496,21.529015354723942,-12.347801294847095,15.169336508881106,10.87717040534273,-0.5241779599997094,0.2743300554366374
B7_control.2,49.016054664549664,-37.05613790624397,6.887067627651732,14.855859696139953,-0.9208627192568388,-0.018436579536613287,1.9720073172874268,-15.456859782333774,18.270986710382644,-1.591206943053372,21.257699872821565,-0.5243570866584067,7.101960854145763,-9.794901023491262,-9.717728525038932
B7_DAPT,57.05065188364301,10.582891721664296,-18.867272587998215,-15.195522570674795,13.23407694480412,24.36405516845881,7.399980165311866,5.572510831469837,23.06247696136062,-7.050531796916047,-12.718646436242059,3.0524267565679706,1.7754729580599151,-1.4246287613681203,1.386901075060617
B7_DAPT.1,54.618649111007,10.46846551643433,-4.533897930207581,-0.8638866754123676,-9.42499571861561,-12.323921089974924,5.960389896742492,-3.208676180686126,-0.8551890187750593,0.01522971657271337,-5.141225165204118,-1.2722731502959794,-4.526296307393032,-11.86315107776516,7.577658152239934
B7_DAPT.2,56.589745641801144,5.123543016473398,-17.59893313302288,-15.930674781069579,12.429637943475159,9.979649797566221,-7.126718155316396,-5.82948446065724,-17.65174914547452,10.541516154214403,20.816260985350393,-7.676198410187566,-14.86278832625881,5.461692859768299,-1.5794887963076993
B7_C34,54.63827736321601,8.133179410387456,-17.64194106102207,-3.8085155200323166,-7.497050614627041,-11.534215949654794,0.7398352141535657,5.522734735399297,-14.407531083368285,-17.33049761028711,4.163252907229875,-3.134716808955789,27.137235017737854,4.968967842940499,0.26980419810772066
B7_C34.1,47.970614622395985,44.1228522886041,48.81718642465154,3.8354331684925507,3.829318647146071,8.905468630112955,-4.293850236289557,-0.5945856041191027,-2.5251789573602057,-5.642539529538419,1.9367201779775174,-3.767679284032802,1.6450578045744022,0.2283588581255698,-0.01652525915895993
B7_C34.2,54.85439004091378,22.515298843747132,-4.467844653610007,-1.637826803219162,-13.305284119823469,-23.000660851447673,9.270613003435567,1.426519234608439,6.815441856459517,14.86678615229258,-3.6139324325385265,13.633042131856078,-10.765827199940931,-0.1431863651366801,-5.423388337029929
