,PC1,PC2
414C2_C34,-138.9744870763384,-46.1402367760802
414C2_C34.1,-130.9335949368997,-43.006718194217086
414C2_C34.2,-133.4446010963557,-43.98525195929973
414C2_DAPT,-133.62629278183664,-44.05605682308242
414C2_DAPT.1,-130.76042887102116,-42.939235746278634
414C2_DAPT.2,-134.67415391014404,-44.46440607834213
414C2_control,-121.67486413584459,-39.398610473523306
414C2_control.1,-127.96899115725604,-41.851418400328356
414C2_control.2,-122.85981034229141,-39.86038149246258
B7_C34,-142.54931339326887,-47.53333899617999
B7_C34.1,-143.88128374108317,-48.0524050106208
B7_C34.2,-141.43052662351388,-47.097350169147326
B7_DAPT,-145.6500284847021,-48.74168107907077
B7_DAPT.1,-140.0976098173861,-46.577915321912755
B7_DAPT.2,-144.99485313441332,-48.48636063714629
B7_control,-133.57580102490638,-44.036380292688996
B7_control.1,-136.12953503785135,-45.03156501149035
B7_control.2,-137.28348205577143,-45.4812557125262
